nama_produk,deskripsi,kategori,sku,harga_beli,harga_jual,stok_awal,minimum_stok,satuan,jenis_kepemilikan,siklus_stok,kontak_supplier,keterangan
Makroni Bantet,Mkroni level Pedas ,makanan ringan ,,4000,5000,300,300,pack,Titipan,mingguan,89676219752,
Keupuk KKN,Kerupuk kering Pedas ,Makanan ringan ,,1600,2000,200,250,pack,Titipan,MIngguan,81394133303,
Makroni Karomah ,Makroni Pedas ,Makanan Ringan ,,1600,2000,200,200,pack,Titipan ,MIngguan ,881022415245,
Kripik Elang ,kripik dengan rasa pedas dua jenis singkong dan makroni,Makanan Ringan,,8500,10000,40,50,Pack,Titipan,Mingguan,82187811819,
kerupuk Kulit,Kerupuk Kulit/Dorokdok,Makanan Ringan,,6000,7000,60,100,Pack,Titipan,Mingguan,85900483793,
Baper,"Aneka Makana Ringan Makroni,usus,seblak,",Makanan Ringan ,,2000,3000,120,150,pack,Titipan,MIngguan ,85223728212,
Capruk,"Makana Ringan kripca,makroni,lidi,kerupuk kering",Makanan Ringan ,,5000,7000,,,pack,Titipan,Mingguan,85236925197,
Keripik Ubi,Makanan Ringan pedas dan manis ,Makanan Ringan ,,4000,5000,80,100,Pack,Titipan,Mingguan,89616018699,
moring Faiz,Makanan Ringan ,Makanan Ringan ,,4000/8000,5000/9000,105,150,pack,Titipan,MInguan,81222536433,
Seblak Dindaku,Makana Ringan Dua Jenis Mkroni dan Basreng,Makanan Ringan,,5000,6000,65,100,pack,Titipan,MIngguan,81381439517,
Keripik Bayam,Makanan dengan olahan Bayam,Makanan Ringan ,,9000,10000,30,50,pack,Titipan,Mingguan,,
Sale Pisang,Makanan Olahan dari pisang,Makanan Ringan ,,5000,6000,50,100,Pack,Titipan ,Mingguan,81222006301,
Kerupuk Rafa Putra,kerupuk yang di kemas kecil kecil,Makanan Ringan ,,1500,2000,90,100,Pack,Titipan,Mingguan,85703394562,
Sponge,Makanan Ringan Dua rasa coklat dan strawberi,Makanan Ringan ,,837,1000,80,100,,Koperasi,Mingguan,-,
pillaws,Snack,Makanan Ringan ,,800,1000,30,50,,Koperasi,Mingguan,-,
chiki Ball,Snack,Makanan Ringan ,,1750,2000,30,50,,Koperasi,Mingguan,-,
Rin-bee,Snack,Makanan Ringan ,,800,1000,30,50,,Koperasi,Mingguan,-,
Happytos,Snack,Makanan Ringan,,1750,2000,30,50,,Koperasi,Mingguan,-,
Tos - Tos,Snack,Makanan Ringan ,,1750,2000,30,50,,Koperasi,Mingguan,-,
Piatos,Snack,Makanan Ringan,,1750,2000,30,50,,Koperasi,Mingguan,-,
Maitos,Snack,Makanan Ringan,,1800,2000,30,50,,Koperasi,Mingguan,-,
Taro,Snack,Makanan Ringan,,800,1000,30,50,,Koperasi,Mingguan,-,
Qtela,Snack,Makanan Ringan,,1800,2000,30,50,,Koperasi,Mingguan,-,
Kusuka,Snack,Makanan Ringan,,1700,2000,30,50,,Koperasi,Mingguan,-,
Citato,Snack,Makanan Ringan,,1700,2000,60,60,,Koperasi,Mingguan,-,
Tiktik,Snack,Makanan Ringan,,1750,2000,30,50,,Koperasi,Mingguan,-,
Frenc Fries,Snack,Makanan Ringan,,1700,2000,30,50,,Koperasi,Mingguan,-,
Chiki Twist,Snack,Makanan Ringan,,1800,2000,25,30,,Koperasi,Mingguan,-,
coco Chip,Snack,Makanan Ringan,,1800,2000,25,35,,Koperasi,Mingguan,-,
pop mie,Mie Seduh dalam kemasan,Makanan Ringan,,6000,7000,72,100,,Koperasi,Mingguan,-,
sari roti,Olahan roti,Makanan Ringan,,,,,,,Titipan,Mingguan,,
May roti,Olahan Roti,Makanan Ringan,,,,,,,Titipan,Mingguan,,
waffel,Snack,Makanan Ringan,,5000,6000,25,30,,Koperasi,Mingguan,-,
sari gandum,Snack,Makanan Ringan,,2000,2500,30,50,,Koperasi,Mingguan,-,
bengbeng,Snack,Makanan Ringan,,2500,3000,30,50,,Koperasi,Mingguan,-,
superstar,Snack,Makanan Ringan,,700,100,30,50,,Koperasi,Mingguan,-,
chokolatos,Snack,Makanan Ringan,,800,1000,30,50,,Koperasi,Mingguan,-,
TOP,Snack,Makanan Ringan,,800,1000,30,50,,Koperasi,Mingguan,-,
Pocky,Snack,Makanan Ringan,,4000,5000,20,30,,Koperasi,Mingguan,-,
Momogi,Snack,Makanan Ringan,,700,100,20,35,,Koperasi,Mingguan,-,
Oreo,Snack,Makanan Ringan,,1700,2000,20,35,,Koperasi,Mingguan,-,
Nabati Ahh,Snack,Makanan Ringan,,800,1000,20,35,,Koperasi,Mingguan,-,
Nabati Rol,Snack,Makanan Ringan,,300,500,20,35,,Koperasi,Mingguan,-,
trickes,Snack,Makanan Ringan,,1700,2000,20,35,,Koperasi,Mingguan,-,
Biskuit,Snack,Makanan Ringan,,2000,2500,20,35,,Koperasi,Mingguan,-,
Godtime,Snack,Makanan Ringan,,1500,2000,20,40,,Koperasi,Mingguan,-,
Yupi,Snack,Makanan Ringan,,700,1000,20,30,,Koperasi,Mingguan,-,
Sosis,Snack,Makanan Ringan,,1500,2000,30,50,,Koperasi,Mingguan,-,
coki coki,Snack,Makanan Ringan,,800,1000,30,50,,Koperasi,Mingguan,-,
kopi,Minuman Seduh,Minuman Seduh,,2000,3000,30,50,,Koperasi,Mingguan,-,
maxtea,Minuman Seduh,Minuman Botol,,3000,4000,30,50,,Koperasi,Mingguan,-,
gooday,Minuman Seduh,Minuman Seduh,,2000,3000,30,50,,Koperasi,Mingguan,-,
kapal Api,Minuman Seduh,Minuman Seduh,,2000,3000,30,50,,Koperasi,Mingguan,-,
indocafe,Minuman Seduh,Minuman Seduh,,2000,3000,30,50,,Koperasi,Mingguan,-,
